discount_band,orders_count,avg_quantity,net_sales,profit,avg_profit_margin
0% (No Discount),17864,4.983710255261979,24529544.79,12899973.52,54.11248544558889
1-10%,35031,4.844280779880677,44374712.26,21851907.05,51.05321201221775
11-20%,49198,5.209825602666775,59606722.44,26735325.41,46.66118724338387
21-30%,17729,6.501494726154887,23851740.64,8970901.1,40.341694963054884
31-40%,10882,8.210623047233964,16192648.58,4592144.88,31.42512405807756
41%+,7412,7.5418240690771725,8578895.03,1096143.8,15.704477873718295
