customer_segment_rfm,customers,avg_recency,avg_frequency,avg_monetary,total_monetary
Champions,3935,71.43074968233799,7.132655654383735,10074.397260482847,39642753.22
Loyal Customers,4921,175.7992277992278,5.671611461085146,7406.44911400122,36447136.09
At Risk,3250,572.3446153846154,5.610769230769231,7887.26856923077,25633622.85
Low-Engagement,3748,401.2102454642476,4.304695837780149,3937.587985592316,14758079.77
New Customers,2575,78.53980582524272,2.9398058252427184,3735.0675650485437,9617798.98
Hibernating / Lost,4273,821.5354551837116,2.2731102270067867,2166.506749356424,9257483.34
"Cannot Lose Them (High Value, Inactive)",570,700.2824561403509,3.2508771929824563,7879.621666666666,4491384.35
Potential Loyalists,1476,268.4207317073171,2.7621951219512195,2945.5148373983743,4347579.9
